isbn,book_title,num_printed,num_pages,price,edition,print_series,category_id,category_name,publisher_id,publisher_name,city,manager_name,publisher_revenue,author_id,author_name,author_age,author_revenue,publish_date
8550317345,book_title00001,26000,1394,88.1,5,10,36,Western Fiction,121,publisher_name0121,2,manager_name73,916240.0,121,author_name0121,89,1374359.9999999998,2001-07-14 00:00:00
1819486763,book_title00002,39000,307,60.8,8,74,36,Western Fiction,121,publisher_name0121,2,manager_name73,948480.0,121,author_name0121,89,1422719.9999999998,2021-11-03 00:00:00
1555635231,book_title00003,44000,1970,102.0,4,51,19,Fantasy,121,publisher_name0121,2,manager_name73,1795200.0000000002,121,author_name0121,89,2692800.0,2011-06-12 00:00:00
9439997999,book_title00004,33000,294,189.4,6,19,33,Magical Realism,121,publisher_name0121,2,manager_name73,2500080.0,121,author_name0121,89,3750120.0,2008-06-01 00:00:00
8501809163,book_title00005,33000,1863,180.1,2,31,11,Women's Fiction,121,publisher_name0121,2,manager_name73,2377320.0,121,author_name0121,89,3565979.9999999995,2021-01-06 00:00:00
4724254912,book_title00006,20000,1533,9.1,6,40,14,Short Story,121,publisher_name0121,2,manager_name73,72800.0,121,author_name0121,89,109200.0,2018-02-04 00:00:00
6965978021,book_title00007,15000,387,189.1,4,43,17,Memoir,121,publisher_name0121,2,manager_name73,1134600.0,121,author_name0121,89,1701900.0,2022-03-07 00:00:00
7094580150,book_title00008,10000,1884,179.7,1,10,10,Thriller,121,publisher_name0121,2,manager_name73,718800.0,121,author_name0121,89,1078200.0,2019-06-17 00:00:00
8947300733,book_title00009,24000,1225,154.3,3,79,40,Satire,121,publisher_name0121,2,manager_name73,1481280.0000000002,121,author_name0121,89,2221920.0,2013-06-11 00:00:00
7428400701,book_title00010,25000,185,142.2,8,33,39,Poetry,121,publisher_name0121,2,manager_name73,1422000.0,121,author_name0121,89,2133000.0,2014-05-04 00:00:00
2819108548,book_title00011,42000,790,49.2,6,3,33,Magical Realism,121,publisher_name0121,2,manager_name73,826560.0000000001,121,author_name0121,89,1239840.0,2020-10-04 00:00:00
7230559852,book_title00012,26000,1599,174.1,2,77,1,Fiction,121,publisher_name0121,2,manager_name73,1810640.0,121,author_name0121,89,2715960.0,2001-12-06 00:00:00
8260400549,book_title00013,12000,572,129.3,8,34,15,History,121,publisher_name0121,2,manager_name73,620640.0000000001,121,author_name0121,89,930960.0,2011-10-19 00:00:00
3842561205,book_title00014,20000,1328,196.8,8,8,30,Fantasy Fiction,121,publisher_name0121,2,manager_name73,1574400.0000000002,121,author_name0121,89,2361600.0,2017-07-08 00:00:00
6865874040,book_title00015,26000,1488,53.1,6,45,35,Autobiography,121,publisher_name0121,2,manager_name73,552240.0,121,author_name0121,89,828360.0,2017-01-14 00:00:00
7084001916,book_title00016,16000,1633,178.8,3,26,22,Historical Fantasy,121,publisher_name0121,2,manager_name73,1144320.0000000002,121,author_name0121,89,1716480.0,2010-09-09 00:00:00
6395056376,book_title00017,37000,1189,167.9,6,19,1,Fiction,121,publisher_name0121,2,manager_name73,2484920.0000000005,121,author_name0121,89,3727380.0,2022-01-08 00:00:00
9148827446,book_title00018,30000,1612,47.0,8,78,12,Young Adult Fiction,121,publisher_name0121,2,manager_name73,564000.0,121,author_name0121,89,846000.0,2006-05-07 00:00:00
7049993768,book_title00019,48000,922,163.4,6,34,13,Literary Fiction,121,publisher_name0121,2,manager_name73,3137280.0,121,author_name0121,89,4705920.0,2015-10-14 00:00:00
4392052763,book_title00020,23000,1486,175.8,1,42,19,Fantasy,121,publisher_name0121,2,manager_name73,1617360.0000000002,121,author_name0121,89,2426040.0,2002-12-13 00:00:00
5483779972,book_title00021,17000,1309,193.8,4,2,17,Memoir,121,publisher_name0121,2,manager_name73,1317840.0000000002,121,author_name0121,89,1976760.0,2017-05-06 00:00:00
1459021900,book_title00022,21000,152,151.3,7,69,16,Graphic Novel,121,publisher_name0121,2,manager_name73,1270920.0000000002,121,author_name0121,89,1906380.0,2005-10-19 00:00:00
8000578379,book_title00023,18000,1337,33.3,1,31,15,History,121,publisher_name0121,2,manager_name73,239760.0,121,author_name0121,89,359639.99999999994,2005-02-16 00:00:00
