isbn,title,pages,price,edition_num,print_series,category_id
3629268805,book_title00001,1208,129.1,6,54,40
3911691385,book_title00002,846,184.9,4,6,19
5391725720,book_title00003,111,150.2,8,16,37
2247650772,book_title00004,514,39.6,7,37,28
9831162865,book_title00005,1569,53.6,5,66,40
9919929106,book_title00006,174,54.9,2,4,23
1988076703,book_title00007,1638,107.4,7,43,6
8753097539,book_title00008,117,59.1,7,36,32
5288024690,book_title00009,1558,119.9,3,36,23
9736701343,book_title00010,1818,97.1,8,14,35
2792545403,book_title00011,1179,108.5,4,16,38
5261493584,book_title00012,323,183.5,4,25,4
2902210022,book_title00013,1347,16.8,4,1,10
6780842556,book_title00014,1492,15.2,5,37,6
7049957607,book_title00015,1846,188.9,5,64,24
8892761735,book_title00016,549,160.6,7,27,1
4743411044,book_title00017,1572,19.3,7,37,39
9386578364,book_title00018,1459,153.4,8,17,7
1051877789,book_title00019,1555,192.0,6,77,12
4859954761,book_title00020,197,169.5,4,1,3
3445911869,book_title00021,739,68.5,6,28,22
9202065304,book_title00022,977,76.5,7,64,35
2908759550,book_title00023,991,154.8,4,33,7
6108439689,book_title00024,812,193.3,2,29,21
3163108610,book_title00025,197,112.6,1,16,24
3734272900,book_title00026,1142,87.8,2,8,30
3034845458,book_title00027,1723,97.2,6,76,11
2294627371,book_title00028,886,179.7,2,64,17
7233977854,book_title00029,944,11.8,5,17,11
2671487445,book_title00030,497,41.9,7,66,32
9987984074,book_title00031,1830,148.0,1,71,16
5367497464,book_title00032,808,154.6,1,1,11
3990054337,book_title00033,1495,81.8,1,24,15
9504592833,book_title00034,448,73.9,8,58,40
1301071998,book_title00035,658,127.6,5,73,25
1267648249,book_title00036,373,162.4,3,28,34
2161839190,book_title00037,587,131.7,3,54,24
5194825753,book_title00038,1234,124.8,8,78,8
9781650702,book_title00039,838,3.9,2,46,34
4492946642,book_title00040,1910,184.9,1,30,4
2915253666,book_title00041,63,33.4,5,37,13
8105598508,book_title00042,477,50.4,7,72,35
2667265452,book_title00043,183,41.9,3,67,24
3083033163,book_title00044,1204,55.0,4,78,3
7101221606,book_title00045,1781,66.1,6,43,12
1350000463,book_title00046,139,141.1,5,72,14
2948723183,book_title00047,926,67.7,6,35,16
5879058390,book_title00048,782,114.0,3,24,37
5183769892,book_title00049,1893,124.6,8,23,29
7190155861,book_title00050,326,194.2,6,56,25
3197619473,book_title00051,559,65.6,6,59,6
1626506524,book_title00052,435,30.9,2,47,33
7543024242,book_title00053,1625,105.8,2,69,19
7809657262,book_title00054,1466,39.4,8,69,2
6426436653,book_title00055,74,88.5,2,40,40
8279999332,book_title00056,279,28.5,6,79,19
9884935187,book_title00057,1958,73.6,2,39,5
3973919843,book_title00058,415,109.1,3,74,1
2681099850,book_title00059,109,123.8,1,39,32
6596576166,book_title00060,188,161.4,3,26,35
7924652065,book_title00061,864,24.2,4,77,28
7648790565,book_title00062,968,34.1,8,76,26
1214925937,book_title00063,1922,31.8,4,72,2
4185501245,book_title00064,169,17.5,5,76,32
7578829598,book_title00065,1834,40.2,5,29,16
5774256869,book_title00066,1209,97.5,8,49,23
3420445132,book_title00067,1175,106.1,7,40,8
7591703646,book_title00068,1313,94.1,6,22,35
5868231524,book_title00069,287,134.6,2,56,7
8480074729,book_title00070,1624,24.5,4,56,28
4956790121,book_title00071,1852,195.0,6,23,9
6679605169,book_title00072,906,135.8,2,72,38
4865440955,book_title00073,1765,175.4,2,25,34
1968631330,book_title00074,1655,3.4,4,20,13
7404464281,book_title00075,932,91.2,1,10,2
3276404104,book_title00076,993,58.9,4,39,30
4380416395,book_title00077,1206,72.1,2,40,20
5904344706,book_title00078,522,22.3,3,13,27
6755797410,book_title00079,1312,178.6,7,66,29
7084385666,book_title00080,74,140.3,5,64,12
7862344283,book_title00081,663,27.9,3,72,38
3643312120,book_title00082,718,83.5,8,75,8
3406033030,book_title00083,1296,101.4,5,32,22
4299620488,book_title00084,435,5.1,3,9,23
2270523472,book_title00085,254,183.2,2,28,39
9068123637,book_title00086,1964,152.7,6,30,31
1497602135,book_title00086,1409,138.2,8,68,13
1839934290,book_title00087,613,101.2,8,59,23
7821694469,book_title00088,624,23.7,7,28,34
5079031669,book_title00089,1280,38.0,7,66,2
2532471315,book_title00090,1342,102.9,5,49,14
5164110054,book_title00091,641,56.1,2,30,26
2973965253,book_title00092,559,145.8,7,50,14
7357146969,book_title00093,314,50.5,3,29,25
9373153840,book_title00094,1091,127.8,3,42,22
4984032161,book_title00095,1904,173.8,3,72,22
4530318238,book_title00096,735,121.7,2,3,4
9410144378,book_title00097,149,172.4,3,31,19
2714021538,book_title00098,1403,160.8,8,70,9
5231267182,book_title00099,258,97.7,5,24,30
1958380807,book_title00100,986,121.7,2,35,8
4156679767,book_title00101,1007,8.9,8,30,27
2381702014,book_title00102,1882,186.7,4,48,7
6712116256,book_title00103,808,67.2,4,78,29
1803904830,book_title00104,1120,166.3,7,9,6
5888806478,book_title00105,1306,64.6,6,54,20
2415085383,book_title00106,1440,174.0,2,7,22
2116348266,book_title00107,924,11.5,2,61,27
6839517318,book_title00108,871,99.3,3,74,37
3757111331,book_title00109,1055,166.6,4,59,39
2755727730,book_title00110,655,124.4,8,46,24
1647185252,book_title00111,700,17.9,4,66,33
7067982671,book_title00112,564,85.4,3,39,11
7028842489,book_title00113,786,186.3,4,13,22
1174943723,book_title00114,1186,193.3,6,40,31
9496434958,book_title00115,450,95.8,6,60,7
5504241432,book_title00116,181,169.2,5,38,21
2676622397,book_title00117,1511,8.1,8,42,12
8008302137,book_title00118,260,43.0,8,26,32
